price;title;location;surface;rooms
699000;Nowe mieszkanie Warszawa Śródmieście, ul. Grzybowska 37;Śródmieście;33.6;1
910442;Mieszkanie Warszawa Wola, ul. Grzybowska 61;Wola;46.93;2
3737487;Nowe mieszkanie Warszawa Wola;Wola;116.7;4
896000;Mieszkanie Warszawa Stary Mokotów;Stary Mokotów;59.78;2
569000;Mieszkanie Warszawa Nowolipki, ul. Pawia;Nowolipki;38.0;2
620000;Mieszkanie Warszawa Młynów;Młynów;49.1;3
950000;Mieszkanie Warszawa Targówek Mieszkaniowy, ul. Błotna;Targówek Mieszkaniowy;69.1;3
415000;Mieszkanie Warszawa Targówek, ul. Bolesławicka;Targówek;33.7;2
750000;Mieszkanie Warszawa Mokotów, ul. Huculska;Mokotów;45.0;2
1020700;Nowe mieszkanie Warszawa Mokotów;Mokotów;84.4;4
680000;Mieszkanie Warszawa Wola, ul. Górczewska;Wola;49.0;2
2580000;Mieszkanie Warszawa Powiśle;Powiśle;109.57;3
818000;Mieszkanie Warszawa Nowe Miasto;Nowe Miasto;56.0;3
500000;Mieszkanie Warszawa;mazowieckie;32.6;1
560000;Mieszkanie Warszawa Żoliborz;Żoliborz;56.58;3
770000;Mieszkanie Warszawa Mokotów, al. Niepodległości;Mokotów;55.0;3
580000;Mieszkanie Warszawa Targówek, ul. Gościeradowska;Targówek;45.6;2
475000;Mieszkanie Warszawa Śródmieście, ul. Sulkiewicza;Śródmieście;25.0;1
420000;Mieszkanie Warszawa Praga-Południe, ul. Wojciecha Chrzanowskiego;Praga-Południe;34.5;1
2100000;Mieszkanie Warszawa Śródmieście, ul. Książęca;Śródmieście;92.0;3
6240000;Mieszkanie Warszawa Śródmieście Południowe, ul. Noakowskiego;Śródmieście Południowe;160.0;4
440000;Mieszkanie Warszawa Praga-Południe, ul. Igańska;Praga-Południe;28.0;1
1030000;Mieszkanie Warszawa Mokotów, ul. Bobrowiecka;Mokotów;70.24;3
612960;Nowe mieszkanie Warszawa;mazowieckie;29.11;1
515000;Mieszkanie Warszawa Wola, ul. Gibalskiego;Wola;41.44;2
519000;Mieszkanie Warszawa Praga-Południe;Praga-Południe;49.0;2
654756;Mieszkanie Warszawa Filtry, ul. Aleje Jerozolimskie;Filtry;45.1;2
719000;Mieszkanie Warszawa Wola, ul. Wawelberga;Wola;53.9;2
8400000;Mieszkanie Warszawa Śródmieście, ul. Kopernika;Śródmieście;186.7;5
1314000;Nowe mieszkanie Warszawa Czyste, ul. Kolejowa;Czyste;66.99;3
490000;Mieszkanie Warszawa Gocław, ul. Poligonowa;Gocław;38.0;1
599000;Mieszkanie Warszawa Śródmieście, ul. Rycerska;Śródmieście;22.0;1
750000;Mieszkanie Warszawa Praga-Południe;Praga-Południe;62.0;2
